,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
982,"#Person2# tells #Person1# there are problems with #Person2#'s personal stereo bought from #Person1#'s store, but #Person1# thinks it was #Person2#'s responsibility to check it. Finally #Person1# agrees to exchange it.",#Person1#: I'm sorry to hear that.,#Person2# bought a personal stereo at #Person1#'s shop 3 days ago and it hasn't matched up to what #Person1# was told about. #Person2# isn't happy about the scratch on the front of it and the noise from it. #Person1# suggests they exchange it for another model but #Person2# isn't satisfied with it.,#Person2# bought a personal stereo at #Person1#'s shop 3 days ago and it hasn't matched up to what #Person1# told about. #Person1# tells #Person2# that the scratches are not the most important thing and #Person2# is not happy about the other thing. #Person1# suggests they exchange the stereo for another model.
983,"#Person2# bought a personal stereo at #Person1#'s shop, but #Person2# found there was a scratch and other people could hear noise from it. #Person1# will exchange it for another model if #Person2# can provide the receipt.",#Person1#: I'm sorry to hear that.,#Person2# bought a personal stereo at #Person1#'s shop 3 days ago and it hasn't matched up to what #Person1# was told about. #Person2# isn't happy about the scratch on the front of it and the noise from it. #Person1# suggests they exchange it for another model but #Person2# isn't satisfied with it.,#Person2# bought a personal stereo at #Person1#'s shop 3 days ago and it hasn't matched up to what #Person1# told about. #Person1# tells #Person2# that the scratches are not the most important thing and #Person2# is not happy about the other thing. #Person1# suggests they exchange the stereo for another model.
984,#Person1# and #Person2# are talking about the dormitory deposit for next year. #Person2# wants to live off campus because #Person2# wants a quiet place. #Person1# thinks it's too expensive compared with living in the school dorm room.,#Person1#: You've been waiting for two weeks to make your deposit for next year.,#Person1# and #Person2# are talking about the deposit for next year. #Person1# tells #Person2# there's not much time left and suggests #Person2# hurry up if #Person2# wants a dorm room next September. #Person2# thinks living off campus would be more expensive but #Person2# thinks #Person2# can handle it. #Person2# thinks #Person2# should study in the library the way #Person1# does.,#Person1# tells #Person2# that #Person2# hasn't made the deposit for next year. #Person2# wants a dorm room next September but #Person2# doesn't know how much it would cost. #Person1# advises #Person2# to study in the library and think about the money.
985,"#Person1# pushes #Person2# to pay for the dormitory soon, but #Person2# is thinking about living off campus. They analyze the advantages and disadvantages of living on and off campus.",#Person1#: You've been waiting for two weeks to make your deposit for next year.,#Person1# and #Person2# are talking about the deposit for next year. #Person1# tells #Person2# there's not much time left and suggests #Person2# hurry up if #Person2# wants a dorm room next September. #Person2# thinks living off campus would be more expensive but #Person2# thinks #Person2# can handle it. #Person2# thinks #Person2# should study in the library the way #Person1# does.,#Person1# tells #Person2# that #Person2# hasn't made the deposit for next year. #Person2# wants a dorm room next September but #Person2# doesn't know how much it would cost. #Person1# advises #Person2# to study in the library and think about the money.
986,#Person2# is not sure whether to rent a house with a higher cost or live on campus with a lower cost.,#Person1#: You've been waiting for two weeks to make your deposit for next year.,#Person1# and #Person2# are talking about the deposit for next year. #Person1# tells #Person2# there's not much time left and suggests #Person2# hurry up if #Person2# wants a dorm room next September. #Person2# thinks living off campus would be more expensive but #Person2# thinks #Person2# can handle it. #Person2# thinks #Person2# should study in the library the way #Person1# does.,#Person1# tells #Person2# that #Person2# hasn't made the deposit for next year. #Person2# wants a dorm room next September but #Person2# doesn't know how much it would cost. #Person1# advises #Person2# to study in the library and think about the money.
987,#Person1# finds a note on a poetry book and thinks maybe it belongs to someone famous. #Person2# still thinks #Person2#'s is better.,The old book of children's stories is worth seventy-five cents.,#Person1# enjoys going through secondhand bookstores and finds a novel of children's stories with a signature of William Shakespeare. #Person1# will buy the book and see if #Person2# can find a name looks like that in the library.,"#Person1# enjoys going through secondhand bookstores and finds a book of children's stories that costs seventy-five cents. #Person1# thinks the book is worth something, but #Person2# thinks the name of the book is a better buy."
988,"#Person1# speculates the signature on the book is valuable, but #Person2# thinks it is somewhat impractical.",The old book of children's stories is worth seventy-five cents.,#Person1# enjoys going through secondhand bookstores and finds a novel of children's stories with a signature of William Shakespeare. #Person1# will buy the book and see if #Person2# can find a name looks like that in the library.,"#Person1# enjoys going through secondhand bookstores and finds a book of children's stories that costs seventy-five cents. #Person1# thinks the book is worth something, but #Person2# thinks the name of the book is a better buy."
989,#Person1# will buy a book with a signature because #Person2# thinks it belongs to someone famous. #Person2# thinks it is somewhat impractical.,The old book of children's stories is worth seventy-five cents.,#Person1# enjoys going through secondhand bookstores and finds a novel of children's stories with a signature of William Shakespeare. #Person1# will buy the book and see if #Person2# can find a name looks like that in the library.,"#Person1# enjoys going through secondhand bookstores and finds a book of children's stories that costs seventy-five cents. #Person1# thinks the book is worth something, but #Person2# thinks the name of the book is a better buy."
990,#Person2# is ordering food in Beijing Tasty Restaurant and #Person2# tells #Person1# to get the food ready in 20 minutes.,The food will be ready in 20 minutes.,#Person2# comes to Beijing Tasty Restaurant to order food. #Person1# takes #Person2#'s order and takes #Person2#'s order in 20 minutes. #Person2# wants to wait for #Person2#'s friend.,#Person1# shows #Person2# a table beside the window and asks #Person2# to take the order. #Person2# wants to wait for his friend. #Person1# asks #Person2# to get the food ready in 20 minutes.
991,#Person1# helps #Person2# to find a table in the centre and order some food at Beijing Tasty Restaurant.,The food will be ready in 20 minutes.,#Person2# comes to Beijing Tasty Restaurant to order food. #Person1# takes #Person2#'s order and takes #Person2#'s order in 20 minutes. #Person2# wants to wait for #Person2#'s friend.,#Person1# shows #Person2# a table beside the window and asks #Person2# to take the order. #Person2# wants to wait for his friend. #Person1# asks #Person2# to get the food ready in 20 minutes.
992,"#Person2# comes to a restaurant and orders some food, waiting for a friend.",The food will be ready in 20 minutes.,#Person2# comes to Beijing Tasty Restaurant to order food. #Person1# takes #Person2#'s order and takes #Person2#'s order in 20 minutes. #Person2# wants to wait for #Person2#'s friend.,#Person1# shows #Person2# a table beside the window and asks #Person2# to take the order. #Person2# wants to wait for his friend. #Person1# asks #Person2# to get the food ready in 20 minutes.
